Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
1979/1980,Denver Nuggets,27.1,30,52,30,52,-4.41,0.20,-4.22,103.4,107.6,-4.2,103.9,.340,.034,.517,.469,15.1,33.6,.250,.497,14.4,67.8,.224
1979/1980,Golden State Warriors,26.3,24,58,29,53,-4.39,0.20,-4.20,102.0,106.3,-4.3,100.5,.262,.017,.520,.484,15.5,31.1,.193,.498,15.5,69.8,.273
1979/1980,Utah Jazz,26.1,24,58,25,57,-6.01,0.31,-5.71,104.2,110.4,-6.2,97.6,.285,.027,.547,.500,16.7,29.7,.230,.500,13.5,67.1,.237
1979/1980,Detroit Pistons,24.7,16,66,22,60,-8.24,0.67,-7.57,101.2,108.8,-7.6,107.1,.283,.029,.523,.483,16.9,32.3,.209,.499,15.2,64.7,.239
1989/1990,Los Angeles Lakers,28.9,63,19,58,24,6.78,-0.04,6.74,114.0,107.0,+7.0,96.3,.345,.120,.562,.512,13.2,32.8,.271,.479,12.8,68.5,.219
1989/1990,Phoenix Suns,26.7,54,28,58,24,7.10,-0.01,7.09,113.1,106.2,+6.9,100.7,.380,.076,.565,.509,13.3,31.1,.302,.478,12.8,68.8,.209
1989/1990,Detroit Pistons,29.5,59,23,57,25,6.09,-0.68,5.41,109.9,103.5,+6.4,94.4,.323,.078,.537,.490,13.4,34.2,.245,.461,13.7,70.3,.262
1989/1990,Portland Trail Blazers,26.7,59,23,57,25,6.32,0.16,6.48,110.5,104.4,+6.1,102.3,.362,.075,.535,.486,13.4,36.5,.269,.479,15.2,70.8,.265
1989/1990,Philadelphia 76ers,27.4,53,29,54,28,4.99,-0.75,4.23,113.5,108.4,+5.1,96.5,.357,.077,.556,.502,12.9,32.0,.281,.495,13.3,68.4,.223
1989/1990,Utah Jazz,27.6,55,27,54,28,4.79,0.03,4.82,110.3,105.4,+4.9,96.1,.377,.096,.570,.522,15.5,30.1,.284,.468,13.4,69.5,.268
1989/1990,Boston Celtics,30.2,52,30,51,31,3.99,-0.76,3.23,112.0,107.9,+4.1,98.2,.301,.057,.557,.506,13.4,31.5,.251,.477,10.8,72.1,.223
1989/1990,San Antonio Spurs,26.4,56,26,50,32,3.49,0.09,3.58,107.7,104.2,+3.5,98.5,.362,.032,.537,.488,14.7,34.2,.270,.477,15.0,68.7,.235
1989/1990,Chicago Bulls,26.1,55,27,50,32,3.26,-0.51,2.74,112.3,109.0,+3.3,96.7,.302,.094,.559,.516,13.4,31.9,.235,.508,15.2,68.1,.262
1989/1990,Houston Rockets,27.9,41,41,45,37,1.46,0.24,1.71,104.8,103.4,+1.4,101.2,.313,.068,.531,.491,15.5,33.1,.225,.475,14.7,69.2,.228
1989/1990,New York Knicks,26.5,45,37,45,37,1.41,-0.63,0.78,109.4,108.0,+1.4,98.2,.331,.100,.547,.501,14.8,34.2,.250,.482,13.3,66.0,.215
1989/1990,Denver Nuggets,29.5,43,39,45,37,1.41,0.15,1.56,108.0,106.7,+1.3,105.4,.275,.084,.523,.478,11.2,29.1,.217,.501,15.2,71.3,.264
1989/1990,Seattle SuperSonics,25.6,41,41,44,38,1.04,0.36,1.40,110.9,109.8,+1.1,95.3,.299,.090,.535,.494,14.0,37.5,.222,.499,14.3,69.1,.297
1989/1990,Atlanta Hawks,28.6,41,41,44,38,1.02,-0.39,0.64,113.0,111.9,+1.1,95.8,.362,.059,.547,.496,13.5,36.3,.277,.509,14.0,65.5,.254
1989/1990,Indiana Pacers,26.4,42,40,41,41,0.16,-0.34,-0.18,111.5,111.4,+0.1,97.0,.343,.113,.572,.518,14.6,29.0,.280,.494,12.6,67.1,.250
1989/1990,Dallas Mavericks,29.2,47,35,41,41,0.07,0.35,0.42,107.2,107.2,0.0,94.5,.331,.071,.536,.487,13.6,30.3,.254,.481,13.4,67.9,.232
1989/1990,Cleveland Cavaliers,26.1,42,40,40,42,-0.30,-0.31,-0.62,106.9,107.2,-0.3,95.0,.315,.122,.529,.485,13.5,31.5,.235,.490,14.0,67.7,.202
1989/1990,Milwaukee Bucks,28.1,44,38,39,43,-0.78,-0.28,-1.06,107.3,108.1,-0.8,98.0,.318,.094,.533,.488,13.9,31.5,.241,.492,15.8,66.0,.290
1989/1990,Washington Bullets,27.5,31,51,35,47,-2.16,-0.27,-2.43,107.5,109.7,-2.2,99.4,.276,.026,.519,.477,12.4,32.4,.211,.484,12.4,67.2,.249
1989/1990,Golden State Warriors,26.0,37,45,33,49,-3.13,0.59,-2.55,109.6,112.6,-3.0,105.9,.397,.104,.563,.501,14.3,26.1,.321,.494,13.6,61.5,.253
1989/1990,Los Angeles Clippers,24.5,30,52,32,50,-3.39,0.59,-2.80,104.0,107.4,-3.4,99.2,.359,.034,.536,.488,16.3,30.9,.265,.489,14.3,67.3,.241
1989/1990,Minnesota Timberwolves,26.2,22,60,29,53,-4.23,0.63,-3.60,103.6,108.2,-4.6,91.1,.311,.043,.499,.451,13.3,34.0,.232,.492,15.5,66.2,.291
1989/1990,Sacramento Kings,26.4,23,59,28,54,-5.06,0.65,-4.41,104.8,110.0,-5.2,96.7,.278,.092,.527,.484,13.5,27.3,.215,.484,12.5,67.3,.255
1989/1990,New Jersey Nets,26.6,17,65,21,61,-7.87,0.05,-7.82,100.7,108.6,-7.9,99.3,.317,.068,.486,.435,13.9,34.5,.237,.495,14.9,67.0,.272
1989/1990,Charlotte Hornets,25.6,19,63,21,61,-7.82,0.81,-7.00,102.0,109.9,-7.9,98.1,.274,.085,.511,.470,13.2,26.1,.207,.506,14.7,67.5,.269
1989/1990,Orlando Magic,26.5,18,64,21,61,-8.91,0.19,-8.73,105.8,114.3,-8.5,104.1,.362,.052,.521,.467,13.9,33.7,.274,.511,12.1,67.8,.245
1989/1990,Miami Heat,24.7,18,64,18,64,-9.72,0.13,-9.59,99.3,108.9,-9.6,101.0,.276,.041,.501,.467,15.9,33.5,.190,.499,15.2,67.3,.292
1999/2000,Los Angeles Lakers,29.2,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,+9.1,93.3,.346,.153,.525,.484,12.7,30.6,.241,.443,13.4,73.1,.222
1999/2000,Portland Trail Blazers,29.6,59,23,59,23,6.40,-0.04,6.36,107.9,100.8,+7.1,89.9,.316,.175,.546,.501,14.5,30.3,.240,.461,13.8,72.4,.217
1999/2000,San Antonio Spurs,30.9,53,29,58,24,5.94,-0.02,5.92,105.0,98.6,+6.4,90.8,.346,.138,.535,.488,14.3,27.8,.258,.451,13.5,73.0,.188
1999/2000,Phoenix Suns,28.6,53,29,56,26,5.22,0.02,5.24,104.6,99.0,+5.6,94.0,.286,.184,.532,.491,15.2,29.3,.217,.454,15.7,70.5,.245
1999/2000,Utah Jazz,31.5,55,27,54,28,4.46,0.05,4.52,107.3,102.3,+5.0,89.6,.337,.134,.540,.490,14.3,29.5,.260,.477,15.0,73.2,.256
1999/2000,Indiana Pacers,30.4,56,26,54,28,4.60,-0.45,4.15,108.5,103.6,+4.9,93.1,.302,.224,.552,.503,13.3,24.9,.245,.469,12.6,71.5,.197
1999/2000,Miami Heat,29.2,52,30,50,32,3.11,-0.36,2.75,104.5,101.0,+3.5,89.7,.283,.186,.533,.495,14.5,28.2,.208,.453,13.3,72.9,.229
1999/2000,Sacramento Kings,27.5,44,38,49,33,2.91,0.12,3.04,105.0,102.1,+2.9,99.3,.277,.227,.526,.486,13.9,27.7,.209,.479,15.1,69.7,.198
1999/2000,Charlotte Hornets,28.7,49,33,49,33,2.67,-0.34,2.33,104.3,101.4,+2.9,93.9,.376,.153,.530,.475,13.7,25.7,.285,.478,14.6,73.2,.198
1999/2000,Minnesota Timberwolves,26.6,50,32,48,34,2.52,0.14,2.67,106.1,103.4,+2.7,91.8,.256,.104,.525,.485,12.9,29.4,.200,.474,14.0,73.0,.250
1999/2000,New York Knicks,29.5,50,32,46,36,1.46,-0.16,1.30,102.5,100.9,+1.6,89.2,.283,.147,.527,.482,14.4,24.7,.221,.455,13.6,73.1,.251
1999/2000,Detroit Pistons,28.3,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,+1.5,95.7,.378,.184,.548,.492,14.3,26.8,.295,.499,15.4,71.6,.249
1999/2000,Philadelphia 76ers,27.1,49,33,45,37,1.34,-0.32,1.02,101.5,100.0,+1.5,92.7,.329,.095,.501,.457,14.2,31.4,.233,.466,16.2,69.9,.229
1999/2000,Seattle SuperSonics,28.5,45,37,44,38,0.95,0.22,1.17,105.6,104.6,+1.0,93.4,.282,.232,.520,.487,12.9,28.5,.196,.483,14.0,69.6,.193
1999/2000,Orlando Magic,26.3,41,41,43,39,0.68,-0.26,0.43,102.4,101.7,+0.7,97.3,.305,.124,.516,.473,15.4,31.6,.224,.476,15.9,69.9,.226
1999/2000,Milwaukee Bucks,28.2,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,+0.3,92.7,.290,.157,.539,.494,13.8,30.0,.228,.496,14.6,69.6,.254
1999/2000,Toronto Raptors,29.3,45,37,41,41,-0.16,-0.30,-0.46,104.7,104.9,-0.2,92.5,.300,.170,.511,.464,12.7,30.1,.230,.480,14.2,71.8,.247
1999/2000,Dallas Mavericks,26.3,40,42,39,43,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,.248,.188,.532,.490,12.6,25.5,.200,.488,14.2,66.1,.210
1999/2000,Boston Celtics,25.4,35,47,39,43,-0.76,-0.24,-1.00,104.8,105.6,-0.8,94.6,.316,.183,.520,.474,13.8,30.4,.236,.498,15.8,73.8,.306
1999/2000,Houston Rockets,26.3,34,48,39,43,-0.87,0.30,-0.57,104.8,105.7,-0.9,94.2,.322,.244,.536,.494,15.8,29.1,.236,.481,12.5,71.6,.201
1999/2000,New Jersey Nets,27.3,31,51,38,44,-1.04,-0.15,-1.18,105.1,106.3,-1.2,92.5,.297,.200,.517,.468,12.6,28.1,.233,.491,15.2,67.2,.223
1999/2000,Denver Nuggets,25.9,35,47,35,47,-2.12,0.36,-1.76,103.5,105.8,-2.3,94.7,.306,.202,.517,.476,14.0,29.2,.222,.479,13.0,71.6,.235
1999/2000,Washington Wizards,28.0,29,53,32,50,-3.28,-0.19,-3.47,103.5,107.0,-3.5,92.7,.315,.133,.521,.476,14.8,30.6,.234,.489,13.9,71.7,.273
1999/2000,Cleveland Cavaliers,27.2,32,50,31,51,-3.50,-0.14,-3.64,100.4,104.0,-3.6,95.7,.327,.136,.516,.468,15.6,28.1,.245,.474,15.1,71.2,.275
1999/2000,Atlanta Hawks,27.6,28,54,26,56,-5.38,-0.04,-5.41,102.0,107.9,-5.9,91.7,.292,.120,.503,.460,14.1,31.7,.217,.481,11.3,71.0,.196
1999/2000,Vancouver Grizzlies,25.3,22,60,25,57,-5.62,0.52,-5.10,102.3,108.5,-6.2,91.0,.320,.139,.524,.474,15.8,30.1,.247,.502,14.1,70.6,.231
1999/2000,Golden State Warriors,26.9,19,63,20,62,-8.27,0.64,-7.63,99.8,108.4,-8.6,95.4,.301,.150,.484,.444,13.9,32.6,.210,.499,14.6,69.1,.259
1999/2000,Chicago Bulls,26.0,17,65,15,67,-9.40,0.17,-9.23,94.2,104.6,-10.4,89.4,.338,.167,.490,.443,18.0,29.9,.240,.484,14.5,69.9,.240
1999/2000,Los Angeles Clippers,24.2,15,67,13,69,-11.52,0.80,-10.73,97.8,110.1,-12.3,93.9,.270,.188,.499,.458,14.9,26.1,.202,.507,13.1,69.6,.220
1999/2000,Houston Comets,29.6,27,5,30,2,12.78,-0.04,12.74,109.4,91.3,+18.1,69.9,.335,.259,.569,.516,16.8,30.8,.275,.438,18.2,71.4,.191
1999/2000,Los Angeles Sparks,24.6,28,4,26,6,7.75,0.50,8.25,102.7,92.2,+10.5,73.0,.354,.231,.535,.479,17.1,31.2,.279,.426,17.6,72.3,.252
1999/2000,Sacramento Monarchs,27.2,21,11,24,8,5.22,0.59,5.81,103.6,96.2,+7.4,70.7,.326,.230,.514,.475,16.7,38.1,.225,.460,19.5,67.0,.214
1999/2000,Phoenix Mercury,28.3,20,12,23,9,4.41,0.86,5.33,102.8,96.3,+6.5,67.9,.367,.219,.536,.481,17.0,30.2,.285,.460,20.3,65.0,.230
1999/2000,New York Liberty,28.2,20,12,22,10,3.53,-0.80,2.73,99.1,93.9,+5.2,67.5,.312,.218,.520,.474,18.7,30.8,.236,.439,18.7,67.1,.240
1999/2000,Cleveland Rockers,26.0,17,15,19,13,1.97,-1.20,0.77,98.9,96.1,+2.8,68.0,.312,.223,.526,.481,20.6,35.7,.233,.473,21.5,68.5,.258
1999/2000,Utah Starzz,27.0,18,14,16,16,0.19,0.98,1.17,103.1,102.8,+0.3,73.2,.417,.138,.538,.476,19.5,36.8,.321,.478,16.1,70.0,.270
1999/2000,Minnesota Lynx,24.2,15,17,16,16,0.16,1.03,1.18,97.8,97.6,+0.2,69.8,.323,.312,.524,.476,19.2,27.6,.245,.476,20.9,67.1,.292
1999/2000,Orlando Miracle,26.1,16,16,15,17,-0.78,-0.95,-1.73,98.8,99.9,-1.1,68.7,.286,.222,.513,.474,18.4,32.3,.208,.472,18.6,63.5,.192
1999/2000,Washington Mystics,26.3,14,18,14,18,-1.41,-0.36,-1.77,98.7,100.7,-2.0,68.9,.319,.185,.526,.489,19.7,32.9,.222,.490,17.7,68.4,.204
1999/2000,Indiana Fever,24.8,9,23,12,20,-2.41,-1.25,-3.66,98.7,102.1,-3.4,69.7,.310,.283,.530,.486,19.9,31.0,.233,.478,18.0,66.8,.269
1999/2000,Detroit Shock,25.7,14,18,12,20,-2.97,-0.85,-3.88,97.9,101.9,-4.0,74.1,.353,.138,.509,.458,18.8,34.8,.262,.495,19.4,66.1,.244
1999/2000,Portland Fire,25.4,10,22,9,23,-4.63,1.13,-3.49,92.8,99.2,-6.4,71.2,.381,.237,.505,.456,21.7,32.4,.267,.467,19.6,67.1,.312
1999/2000,Miami Sol,26.6,13,19,7,25,-5.31,-1.12,-6.43,86.0,94.0,-8.0,65.7,.374,.175,.443,.389,20.2,36.0,.255,.462,21.3,68.4,.271
1999/2000,Charlotte Sting,27.5,8,24,6,26,-7.59,-0.30,-7.90,96.7,107.4,-10.7,69.8,.303,.203,.507,.461,18.7,31.5,.226,.491,15.9,65.9,.276
1999/2000,Seattle Storm,26.5,6,26,3,29,-10.91,1.79,-9.12,83.8,99.9,-16.1,67.2,.322,.209,.459,.415,20.9,26.2,.218,.486,20.8,65.1,.289
2009/2010,Orlando Magic,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,+8.1,92.0,.340,.350,.573,.536,13.6,24.6,.246,.477,12.2,77.4,.205
2009/2010,Cleveland Cavaliers,28.0,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,+7.1,91.4,.341,.248,.570,.532,13.4,25.1,.246,.482,12.3,77.2,.218
2009/2010,Utah Jazz,25.6,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,+5.7,93.8,.340,.184,.565,.524,14.2,26.8,.252,.492,14.2,75.6,.269
2009/2010,San Antonio Spurs,28.7,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,+5.5,91.7,.296,.232,.552,.515,12.9,26.8,.219,.483,12.1,76.3,.214
2009/2010,Atlanta Hawks,26.5,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,+5.2,90.1,.281,.214,.545,.506,11.4,28.2,.213,.496,13.2,72.7,.208
2009/2010,Phoenix Suns,28.5,54,28,54,28,4.90,-0.23,4.67,115.3,110.2,+5.1,95.3,.312,.261,.585,.546,13.6,27.6,.240,.491,11.6,70.8,.224
2009/2010,Los Angeles Lakers,28.4,57,25,54,28,4.72,0.06,4.78,108.8,103.7,+5.1,92.8,.289,.227,.538,.496,12.4,27.6,.221,.484,13.2,74.4,.195
2009/2010,Denver Nuggets,27.7,53,29,52,30,4.09,0.06,4.15,111.8,107.5,+4.3,94.8,.376,.227,.561,.509,12.7,26.1,.290,.495,13.8,72.4,.251
2009/2010,Boston Celtics,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,+3.9,91.6,.332,.228,.564,.522,14.5,22.8,.248,.487,14.9,73.8,.251
2009/2010,Portland Trail Blazers,26.6,50,32,51,31,3.30,-0.13,3.18,110.8,107.1,+3.7,87.7,.315,.215,.547,.499,12.1,28.2,.249,.502,13.3,74.8,.219
2009/2010,Oklahoma City Thunder,23.2,50,32,51,31,3.49,0.06,3.55,108.3,104.6,+3.7,93.1,.333,.185,.547,.494,13.9,28.6,.268,.483,14.0,73.6,.229
2009/2010,Dallas Mavericks,30.7,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,+2.9,92.5,.277,.222,.552,.506,12.3,24.3,.226,.495,13.6,73.7,.206
2009/2010,Miami Heat,27.1,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,+2.5,89.6,.296,.219,.537,.496,12.8,26.1,.223,.480,13.9,74.9,.246
2009/2010,Milwaukee Bucks,26.4,46,36,46,36,1.70,-0.32,1.37,104.9,103.1,+1.8,91.7,.239,.259,.518,.482,12.3,26.2,.181,.486,14.6,76.4,.266
2009/2010,Charlotte Bobcats,27.4,44,38,45,37,1.46,-0.17,1.30,104.4,102.8,+1.6,90.4,.346,.211,.538,.490,15.1,26.5,.260,.491,14.7,74.2,.194
2009/2010,Houston Rockets,26.0,42,40,40,42,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,.292,.265,.537,.494,13.2,26.9,.225,.511,13.6,73.8,.215
2009/2010,Memphis Grizzlies,24.1,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,.320,.148,.536,.494,13.7,31.3,.235,.520,13.2,73.3,.205
2009/2010,Chicago Bulls,26.2,41,41,36,46,-1.63,0.00,-1.64,103.5,105.3,-1.8,93.1,.287,.156,.520,.477,13.3,26.6,.217,.484,12.3,74.8,.212
2009/2010,Toronto Raptors,25.2,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,.319,.211,.564,.521,12.7,24.7,.244,.513,11.8,72.9,.247
2009/2010,New Orleans Hornets,27.5,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,-2.7,92.6,.243,.230,.543,.506,12.7,24.8,.189,.523,13.5,73.8,.205
2009/2010,Indiana Pacers,26.6,32,50,33,49,-3.01,-0.10,-3.11,103.7,106.8,-3.1,97.1,.296,.278,.536,.491,13.8,21.6,.229,.490,13.4,73.0,.258
